# 	workers 	avg(ms)                 90th    99th
1	1	        108.46112115732369	111	123
2       2               109.3905109489051	112	124
3       3               113.66729917773561	118	136
4       4               120.04156234351527	125	141
5       5               150.81127327629594	240	263
6       6               184.00819252432154	251	286
7       7               212.4964539007092	254	294
8       8               247.59483204134366	269	344
9       9               278.8829621957535	375	429
10      10              334.3277498604132	421	514
