# 	workers 	avg(ms)                 90th    99th
1	1	        110.46777163904235	115	129
2       2               129.66991341991343	187	232
3       3               137.62356541698546	193	240
4       4               145.41115827774408	222	250
5       5               173.60463768115943	243	254
6       6               188.52228631358153	237	268
7       7               219.75366876310272	253	314
8       8               251.29643231899266	280	369
9       9               283.8425487098473	347	421        
10      10              313.8287958115183	394	485
