# 	workers 	avg(ms)                 90th    99th
1	1	        0.8947796745143676	0.913919	1.445887
2       2               0.9537992630753249	1.029631	1.822719
3       3               1.0039443665806687	1.723391	1.862655
4       4               1.076614504402132	1.797119	1.914879
5       5               1.1531594748201164	1.844223	2.009087
6       6               1.2417075817114316	1.874943	2.275327
7       7               1.344025707022127	1.889279	2.815999
8       8               1.4548216006552288	1.903615	3.473407
9       9               1.5705663764839048	1.913855	5.529599
10      10              1.6899913184065876	1.922047	8.740863
