# 	workers 	avg(ms)                 90th    99th
1	1	        108.7967332123412	114	124
2       2               109.99908256880734	114	139
3       3               113.93983533882204	119	130
4       4               119.4006968641115	126	143
5       5               152.08168442415018	235	254
6       6               191.89428723972236	257	282
7       7               230.57724024189116	270	339
8       8               274.11727688787187	306	420
9       9               302.0039237668162	498	575
10      10              334.51283482142856	528	590
