# 	workers 	avg(ms)                 90th    99th
1	1	        1216.9366465306123	1235.222527	1367.343103
2       2               1315.693025882353	1505.755135	2403.336191
3       3               1389.3225575193799	1642.070015	2233.466879
4       4               1460.0461736585366	1766.850559	2178.940927
5       5               1571.1312920975608	1955.594239	2292.187135
6       6               1700.0898176171354	2199.912447	2583.691263
7       7               
8       8               
9       9               
10      10              
